"states","indicator","items","sex","Unit","Date","Value"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","97167"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","111083"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","113928"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","148805"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","122907"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","157023"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","117218"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","514080"
"Abuja","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","448861"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","117696"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","248806"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","206"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","5215"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","396383"
"Abuja","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","194633"
"Abia","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","164270"
"Abia","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","97841"
"Abia","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","142167"
"Abia","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","89673"
"Abia","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","82005"
